course_name,part_name,student_id,previous_attempts,studied_credits,final_result,gender,region,education,imd_band,age_band,disability,course_part,part_length,total_assessments,avg_submission_days,average_score,total_vle_used,average_days,total_clicks
BBB,2014J,698203,0,60,Pass,F,Wales,HE Qualification,30-40%,0-35,N,2014J,262,5.0,106.4,70.6,23.0,45.47,136.0
BBB,2014J,698204,0,60,Pass,F,Wales,Lower Than A Level,10-20,35-55,N,2014J,262,5.0,105.2,80.4,8.0,68.85,27.0
BBB,2014J,698205,0,60,Withdrawn,F,Wales,Lower Than A Level,30-40%,35-55,N,2014J,262,2.0,36.0,92.5,22.0,18.95,160.0
BBB,2014J,698206,0,60,Pass,F,Wales,Lower Than A Level,80-90%,35-55,N,2014J,262,5.0,108.2,39.8,50.0,83.58,391.0
BBB,2014J,698207,0,60,Distinction,F,Wales,HE Qualification,20-30%,0-35,N,2014J,262,5.0,104.6,83.4,93.0,141.12,1423.0
BBB,2014J,698208,0,60,Fail,F,Wales,A Level or Equivalent,50-60%,35-55,N,2014J,262,4.0,78.5,52.25,56.0,38.79,438.0
BBB,2014J,698256,0,60,Distinction,F,West Midlands Region,Lower Than A Level,70-80%,0-35,N,2014J,262,5.0,104.2,56.2,81.0,128.28,1457.0
BBB,2014J,698345,0,60,Pass,F,North Region,Lower Than A Level,50-60%,35-55,N,2014J,262,5.0,105.6,53.8,115.0,85.29,2239.0
BBB,2014J,698352,0,60,Withdrawn,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,N,2014J,262,,,,8.0,-4.0,15.0
BBB,2014J,698357,0,60,Withdrawn,F,South Region,A Level or Equivalent,90-100%,0-35,N,2014J,262,3.0,59.33,56.33,50.0,26.92,322.0
BBB,2014J,698362,0,120,Distinction,F,North Region,HE Qualification,30-40%,0-35,N,2014J,262,5.0,104.4,69.8,91.0,110.18,1404.0
BBB,2014J,698369,0,120,Distinction,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,N,2014J,262,5.0,108.4,83.0,105.0,127.5,3500.0
BBB,2014J,698420,0,120,Distinction,F,East Midlands Region,HE Qualification,70-80%,35-55,N,2014J,262,5.0,105.6,90.0,76.0,114.84,1277.0
BBB,2014J,698432,0,60,Withdrawn,F,South East Region,Lower Than A Level,20-30%,0-35,N,2014J,262,3.0,58.33,27.67,49.0,30.24,423.0
BBB,2014J,698463,0,120,Distinction,F,East Midlands Region,HE Qualification,30-40%,0-35,N,2014J,262,5.0,107.6,87.4,44.0,103.89,529.0
BBB,2014J,698471,0,120,Distinction,F,South Region,HE Qualification,20-30%,0-35,N,2014J,262,5.0,101.0,90.4,98.0,97.95,1781.0
BBB,2014J,698490,0,60,Withdrawn,F,South Region,A Level or Equivalent,50-60%,0-35,N,2014J,262,,,,,,
BBB,2014J,698494,0,60,Pass,F,North Region,A Level or Equivalent,0-10%,0-35,N,2014J,262,5.0,108.4,77.0,41.0,128.76,304.0
BBB,2014J,698498,0,60,Withdrawn,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,2014J,262,,,,,,
BBB,2014J,698507,0,120,Distinction,F,Wales,HE Qualification,60-70%,0-35,N,2014J,262,5.0,106.2,58.6,79.0,119.82,1227.0
BBB,2014J,698509,0,120,Distinction,F,Wales,HE Qualification,30-40%,35-55,N,2014J,262,5.0,103.6,77.4,101.0,119.34,1586.0
BBB,2014J,698586,0,120,Withdrawn,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,Y,2014J,262,,,,6.0,-8.25,16.0
BBB,2014J,699007,0,120,Distinction,F,London Region,A Level or Equivalent,30-40%,0-35,N,2014J,262,5.0,102.4,84.8,138.0,117.51,3088.0
BBB,2014J,699153,0,60,Pass,F,Wales,Lower Than A Level,80-90%,0-35,N,2014J,262,5.0,117.0,66.8,31.0,60.27,223.0
BBB,2014J,699435,0,120,Pass,F,East Midlands Region,HE Qualification,70-80%,0-35,N,2014J,262,5.0,104.2,80.8,74.0,121.85,978.0
BBB,2014J,699436,0,120,Distinction,F,East Midlands Region,HE Qualification,60-70%,35-55,N,2014J,262,5.0,106.2,87.2,88.0,104.59,892.0
BBB,2014J,699437,0,120,Pass,F,East Midlands Region,HE Qualification,70-80%,35-55,N,2014J,262,5.0,105.2,87.4,50.0,99.54,344.0
BBB,2014J,699488,0,120,Distinction,F,Wales,A Level or Equivalent,20-30%,35-55,N,2014J,262,5.0,96.8,86.6,117.0,77.13,3068.0
BBB,2014J,699493,0,120,Withdrawn,F,West Midlands Region,Lower Than A Level,90-100%,35-55,N,2014J,262,,,,4.0,3.0,15.0
BBB,2014J,699498,0,60,Pass,F,Yorkshire Region,Lower Than A Level,70-80%,35-55,N,2014J,262,5.0,104.0,47.6,99.0,108.17,2215.0
BBB,2014J,699503,0,60,Pass,F,Ireland,Lower Than A Level,50-60%,0-35,N,2014J,262,5.0,108.6,59.6,43.0,126.14,270.0
BBB,2014J,699651,0,120,Distinction,F,Yorkshire Region,HE Qualification,60-70%,0-35,N,2014J,262,5.0,104.2,89.6,86.0,128.76,1440.0
BBB,2014J,699656,0,120,Distinction,M,Yorkshire Region,HE Qualification,30-40%,0-35,N,2014J,262,5.0,106.2,67.0,104.0,120.58,1378.0
BBB,2014J,699875,0,60,Withdrawn,F,Ireland,Lower Than A Level,20-30%,35-55,N,2014J,262,,,,,,
BBB,2014J,700079,0,120,Distinction,M,South Region,A Level or Equivalent,0-10%,0-35,N,2014J,262,5.0,104.6,93.8,81.0,82.23,1853.0
BBB,2014J,700086,0,60,Pass,F,Wales,Lower Than A Level,60-70%,35-55,N,2014J,262,5.0,106.8,39.2,92.0,88.41,1087.0
BBB,2014J,700441,0,120,Pass,F,South Region,HE Qualification,80-90%,35-55,N,2014J,262,5.0,106.0,81.8,115.0,117.14,2437.0
BBB,2014J,700458,0,60,Fail,F,Wales,HE Qualification,20-30%,0-35,N,2014J,262,1.0,18.0,100.0,51.0,47.96,277.0
BBB,2014J,700815,0,120,Fail,M,East Anglian Region,HE Qualification,30-40%,0-35,N,2014J,262,4.0,83.0,79.5,64.0,63.51,677.0
BBB,2014J,700820,0,120,Distinction,F,South Region,HE Qualification,40-50%,0-35,N,2014J,262,5.0,99.8,61.8,88.0,110.43,1220.0
BBB,2014J,1118432,0,60,Distinction,F,North Western Region,HE Qualification,30-40%,35-55,N,2014J,262,5.0,98.8,71.6,94.0,96.63,2728.0
BBB,2014J,1419671,0,60,Fail,F,West Midlands Region,Lower Than A Level,70-80%,35-55,N,2014J,262,1.0,8.0,1.0,19.0,-0.18,113.0
BBB,2014J,1432518,0,120,Fail,M,Scotland,Lower Than A Level,60-70%,35-55,Y,2014J,262,3.0,72.67,94.0,47.0,95.15,359.0
BBB,2014J,1453140,1,90,Withdrawn,M,East Midlands Region,A Level or Equivalent,50-60%,35-55,N,2014J,262,3.0,62.0,58.0,24.0,53.44,227.0
BBB,2014J,1486048,0,120,Withdrawn,F,East Midlands Region,HE Qualification,30-40%,35-55,N,2014J,262,3.0,44.67,51.33,72.0,26.92,588.0
BBB,2014J,1526770,0,90,Distinction,F,Ireland,Lower Than A Level,50-60%,35-55,N,2014J,262,5.0,99.2,88.8,97.0,93.67,1109.0
BBB,2014J,1533277,0,60,Pass,F,Yorkshire Region,Lower Than A Level,40-50%,35-55,N,2014J,262,5.0,104.2,50.4,84.0,83.09,958.0
BBB,2014J,1536122,1,120,Distinction,F,Ireland,A Level or Equivalent,20-30%,35-55,N,2014J,262,5.0,109.6,81.8,79.0,91.31,997.0
BBB,2014J,1536591,2,120,Fail,F,London Region,Lower Than A Level,10-20,35-55,N,2014J,262,11.0,35.64,67.73,86.0,26.99,1153.0
BBB,2014J,1547646,0,60,Distinction,F,Yorkshire Region,A Level or Equivalent,80-90%,35-55,N,2014J,262,5.0,106.8,77.4,101.0,129.1,1915.0
BBB,2014J,1560989,1,150,Fail,F,Scotland,HE Qualification,0-10%,35-55,Y,2014J,262,6.0,92.17,68.5,104.0,34.1,1226.0
BBB,2014J,1563696,0,60,Pass,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,N,2014J,262,5.0,106.6,75.6,60.0,117.3,581.0
BBB,2014J,1564706,0,60,Pass,M,Wales,HE Qualification,20-30%,35-55,N,2014J,262,5.0,105.4,62.0,93.0,93.39,1741.0
BBB,2014J,1585768,0,60,Fail,F,Wales,A Level or Equivalent,80-90%,35-55,N,2014J,262,3.0,60.0,50.67,28.0,14.6,195.0
BBB,2014J,1623795,0,60,Distinction,F,Wales,Lower Than A Level,60-70%,35-55,N,2014J,262,5.0,106.4,58.6,76.0,160.78,1590.0
BBB,2014J,1656979,0,60,Distinction,M,South Region,A Level or Equivalent,60-70%,35-55,N,2014J,262,5.0,102.4,75.2,36.0,78.72,739.0
BBB,2014J,1664280,0,60,Pass,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,2014J,262,5.0,105.0,88.2,92.0,65.31,1276.0
BBB,2014J,1723749,0,120,Pass,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,N,2014J,262,5.0,158.6,49.0,75.0,95.53,598.0
BBB,2014J,1732956,0,120,Pass,F,Wales,No Formal quals,30-40%,35-55,N,2014J,262,5.0,105.0,59.4,112.0,109.3,3717.0
BBB,2014J,1733023,0,60,Distinction,F,Scotland,HE Qualification,50-60%,35-55,Y,2014J,262,5.0,106.0,82.8,81.0,127.68,1356.0
BBB,2014J,1752834,0,180,Pass,F,East Midlands Region,Lower Than A Level,30-40%,35-55,N,2014J,262,5.0,107.0,76.8,85.0,125.31,1256.0
BBB,2014J,1757561,1,60,Fail,F,Scotland,Lower Than A Level,40-50%,35-55,N,2014J,262,3.0,53.0,82.67,68.0,36.44,995.0
BBB,2014J,1784816,0,120,Pass,F,West Midlands Region,A Level or Equivalent,10-20,35-55,N,2014J,262,5.0,105.0,67.6,63.0,81.68,618.0
BBB,2014J,1813493,0,60,Fail,M,Yorkshire Region,Lower Than A Level,30-40%,35-55,N,2014J,262,4.0,75.75,49.75,75.0,78.2,959.0
BBB,2014J,1832218,1,60,Pass,F,Scotland,HE Qualification,60-70%,35-55,N,2014J,262,5.0,104.6,61.0,81.0,130.18,618.0
BBB,2014J,1835389,0,60,Pass,F,North Western Region,HE Qualification,80-90%,35-55,N,2014J,262,5.0,104.2,57.4,95.0,119.02,2236.0
BBB,2014J,1843123,0,60,Pass,F,Scotland,HE Qualification,80-90%,35-55,N,2014J,262,5.0,103.6,80.6,63.0,110.66,796.0
BBB,2014J,1874935,0,120,Distinction,F,South Region,A Level or Equivalent,40-50%,35-55,N,2014J,262,5.0,107.4,62.2,42.0,95.92,285.0
BBB,2014J,1888723,0,60,Withdrawn,F,North Western Region,Lower Than A Level,30-40%,35-55,N,2014J,262,,,,,,
BBB,2014J,1891028,1,60,Fail,F,South Region,A Level or Equivalent,10-20,35-55,N,2014J,262,2.0,38.0,36.5,24.0,23.86,109.0
BBB,2014J,1903095,0,60,Pass,F,East Anglian Region,Lower Than A Level,10-20,35-55,N,2014J,262,5.0,103.0,64.0,101.0,103.31,1638.0
BBB,2014J,1926542,0,60,Pass,F,Scotland,Post Graduate Qualification,80-90%,0-35,N,2014J,262,5.0,103.0,59.2,49.0,48.2,320.0
BBB,2014J,1928536,0,60,Withdrawn,F,London Region,Lower Than A Level,50-60%,0-35,N,2014J,262,4.0,81.75,48.25,9.0,6.07,25.0
BBB,2014J,1929491,0,60,Withdrawn,F,East Midlands Region,HE Qualification,20-30%,35-55,N,2014J,262,,,,,,
BBB,2014J,1937822,0,60,Distinction,F,North Region,HE Qualification,20-30%,35-55,N,2014J,262,5.0,100.6,85.6,125.0,110.64,3173.0
BBB,2014J,1972832,0,120,Distinction,F,Wales,A Level or Equivalent,80-90%,0-35,N,2014J,262,5.0,109.2,58.8,60.0,182.18,528.0
BBB,2014J,1989014,0,60,Pass,F,Scotland,HE Qualification,60-70%,35-55,N,2014J,262,5.0,98.4,66.4,105.0,91.98,2787.0
BBB,2014J,1993672,5,60,Fail,F,West Midlands Region,Lower Than A Level,0-10%,35-55,Y,2014J,262,5.0,22.4,48.8,73.0,46.85,1503.0
BBB,2014J,2003628,0,60,Withdrawn,F,South Region,A Level or Equivalent,60-70%,35-55,N,2014J,262,,,,5.0,6.0,21.0
BBB,2014J,2009239,2,120,Pass,F,South East Region,A Level or Equivalent,80-90%,35-55,N,2014J,262,5.0,104.8,84.0,76.0,103.05,1412.0
BBB,2014J,2035574,0,120,Pass,F,East Midlands Region,Lower Than A Level,80-90%,35-55,N,2014J,262,5.0,104.0,79.2,87.0,116.72,1253.0
BBB,2014J,2045569,0,60,Withdrawn,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,N,2014J,262,1.0,13.0,1.0,26.0,22.63,165.0
BBB,2014J,2049740,0,60,Fail,F,London Region,Lower Than A Level,10-20,35-55,N,2014J,262,2.0,30.0,24.5,46.0,64.78,442.0
BBB,2014J,2051809,0,120,Withdrawn,M,London Region,HE Qualification,10-20,35-55,N,2014J,262,,,,,,
BBB,2014J,2091096,0,60,Pass,M,West Midlands Region,Lower Than A Level,30-40%,35-55,N,2014J,262,5.0,105.0,66.0,116.0,92.97,1538.0
BBB,2014J,2091193,0,60,Pass,M,West Midlands Region,Lower Than A Level,80-90%,35-55,N,2014J,262,5.0,110.4,69.8,103.0,93.15,2305.0
BBB,2014J,2093092,0,120,Withdrawn,F,East Anglian Region,HE Qualification,70-80%,35-55,N,2014J,262,,,,,,
BBB,2014J,2103305,0,120,Withdrawn,F,East Anglian Region,Lower Than A Level,40-50%,35-55,Y,2014J,262,2.0,36.5,72.5,27.0,29.35,214.0
BBB,2014J,2108914,0,120,Withdrawn,F,East Midlands Region,Lower Than A Level,80-90%,35-55,N,2014J,262,,,,,,
BBB,2014J,2115250,0,60,Distinction,F,North Western Region,Lower Than A Level,80-90%,35-55,N,2014J,262,5.0,103.2,67.8,92.0,107.61,2326.0
BBB,2014J,2145101,0,120,Withdrawn,F,Scotland,Lower Than A Level,0-10%,0-35,N,2014J,262,,,,,,
BBB,2014J,2149487,0,60,Pass,F,Scotland,HE Qualification,40-50%,35-55,N,2014J,262,5.0,104.8,77.2,102.0,108.08,1737.0
BBB,2014J,2159336,1,60,Withdrawn,F,South West Region,A Level or Equivalent,50-60%,35-55,N,2014J,262,,,,,,
BBB,2014J,2169127,0,60,Withdrawn,F,South West Region,A Level or Equivalent,0-10%,0-35,N,2014J,262,,,,,,
BBB,2014J,2172163,1,120,Pass,F,Ireland,Lower Than A Level,80-90%,35-55,N,2014J,262,5.0,106.8,83.8,47.0,106.45,796.0
BBB,2014J,2177423,3,60,Withdrawn,F,East Anglian Region,Lower Than A Level,50-60%,35-55,N,2014J,262,1.0,15.0,100.0,45.0,7.33,334.0
BBB,2014J,2187308,0,120,Pass,F,North Western Region,HE Qualification,0-10%,0-35,N,2014J,262,5.0,98.8,45.0,43.0,87.59,1185.0
BBB,2014J,2192113,1,60,Withdrawn,M,Scotland,HE Qualification,40-50%,35-55,Y,2014J,262,1.0,20.0,1.0,37.0,10.12,312.0
BBB,2014J,2207474,0,60,Pass,F,South West Region,Lower Than A Level,50-60%,35-55,N,2014J,262,5.0,104.2,82.4,102.0,89.35,1456.0
BBB,2014J,2213814,0,60,Withdrawn,F,South West Region,Lower Than A Level,0-10%,35-55,Y,2014J,262,2.0,47.5,39.5,22.0,33.51,88.0
BBB,2014J,2216682,0,60,Pass,M,Ireland,A Level or Equivalent,90-100%,0-35,N,2014J,262,5.0,103.6,74.2,65.0,147.83,612.0
BBB,2014J,2216778,0,60,Pass,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,N,2014J,262,5.0,104.2,61.6,96.0,87.55,1269.0
BBB,2014J,2218789,0,120,Withdrawn,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,2014J,262,,,,,,
BBB,2014J,2227568,0,60,Distinction,F,London Region,Lower Than A Level,20-30%,35-55,N,2014J,262,5.0,107.6,55.8,75.0,120.48,1298.0
BBB,2014J,2228010,0,60,Pass,F,Scotland,Lower Than A Level,50-60%,35-55,N,2014J,262,5.0,106.0,63.0,80.0,106.41,2052.0
BBB,2014J,2228601,0,120,Distinction,F,South West Region,A Level or Equivalent,60-70%,35-55,N,2014J,262,5.0,105.0,82.8,103.0,111.79,2890.0
BBB,2014J,2229783,1,60,Pass,F,London Region,HE Qualification,0-10%,35-55,N,2014J,262,10.0,108.0,78.6,179.0,101.62,2367.0
BBB,2014J,2232976,0,60,Withdrawn,F,Wales,A Level or Equivalent,40-50%,0-35,Y,2014J,262,3.0,61.33,77.33,34.0,47.16,450.0
BBB,2014J,2237567,0,90,Withdrawn,F,South East Region,A Level or Equivalent,70-80%,35-55,N,2014J,262,5.0,106.4,86.2,57.0,89.47,618.0
BBB,2014J,2239766,0,120,Withdrawn,F,East Midlands Region,Lower Than A Level,40-50%,35-55,N,2014J,262,,,,,,
BBB,2014J,2241250,0,60,Fail,F,Scotland,Lower Than A Level,90-100%,35-55,N,2014J,262,,,,25.0,24.78,136.0
BBB,2014J,2242067,0,60,Pass,F,Yorkshire Region,HE Qualification,50-60%,35-55,N,2014J,262,5.0,104.8,86.2,83.0,111.82,1260.0
BBB,2014J,2248243,0,60,Pass,F,South West Region,Lower Than A Level,20-30%,35-55,N,2014J,262,5.0,96.0,61.8,87.0,98.9,1274.0
BBB,2014J,2251500,0,60,Fail,M,North Western Region,Lower Than A Level,40-50%,35-55,Y,2014J,262,5.0,100.6,36.0,96.0,93.38,1164.0
BBB,2014J,2263129,0,120,Fail,F,Scotland,A Level or Equivalent,80-90%,35-55,N,2014J,262,,,,,,
BBB,2014J,2264569,0,60,Withdrawn,F,London Region,A Level or Equivalent,30-40%,35-55,N,2014J,262,1.0,19.0,1.0,18.0,32.29,73.0
BBB,2014J,2269561,0,60,Fail,F,South West Region,HE Qualification,0-10%,0-35,N,2014J,262,4.0,76.25,35.25,23.0,53.22,171.0
BBB,2014J,2276854,3,180,Withdrawn,F,West Midlands Region,Lower Than A Level,30-40%,35-55,N,2014J,262,1.0,-1.0,1.0,7.0,15.07,19.0
BBB,2014J,2278390,0,60,Fail,M,West Midlands Region,A Level or Equivalent,60-70%,35-55,N,2014J,262,5.0,105.4,78.8,110.0,86.77,5795.0
BBB,2014J,2281286,0,60,Pass,F,South West Region,Lower Than A Level,20-30%,0-35,N,2014J,262,5.0,107.0,71.6,51.0,108.75,390.0
BBB,2014J,2285017,0,60,Withdrawn,F,Scotland,A Level or Equivalent,10-20,0-35,N,2014J,262,,,,,,
BBB,2014J,2292824,0,60,Withdrawn,M,South Region,Lower Than A Level,60-70%,0-35,N,2014J,262,,,,,,
BBB,2014J,2296716,0,60,Fail,F,Wales,A Level or Equivalent,10-20,35-55,N,2014J,262,1.0,13.0,1.0,34.0,4.2,191.0
BBB,2014J,2299745,0,60,Fail,F,Scotland,HE Qualification,50-60%,0-35,N,2014J,262,2.0,35.0,27.5,52.0,44.36,282.0
BBB,2014J,2318161,0,60,Pass,F,South Region,A Level or Equivalent,,35-55,N,2014J,262,5.0,106.4,53.2,50.0,62.95,395.0
BBB,2014J,2321660,0,60,Pass,M,South Region,Lower Than A Level,60-70%,0-35,N,2014J,262,5.0,108.4,72.6,40.0,111.88,234.0
BBB,2014J,2326401,0,60,Withdrawn,F,South Region,Lower Than A Level,40-50%,0-35,N,2014J,262,2.0,108.5,66.0,24.0,66.79,188.0
BBB,2014J,2333415,0,120,Pass,F,Scotland,A Level or Equivalent,80-90%,35-55,N,2014J,262,5.0,99.6,63.4,106.0,109.71,2297.0
BBB,2014J,2344216,0,120,Withdrawn,M,London Region,Lower Than A Level,0-10%,35-55,N,2014J,262,,,,,,
BBB,2014J,2346145,0,60,Pass,F,North Western Region,A Level or Equivalent,60-70%,35-55,N,2014J,262,5.0,105.2,66.8,83.0,113.51,3378.0
BBB,2014J,2349805,0,60,Fail,F,East Anglian Region,Lower Than A Level,50-60%,35-55,N,2014J,262,,,,9.0,114.0,25.0
BBB,2014J,2353764,0,120,Pass,F,West Midlands Region,Lower Than A Level,30-40%,35-55,N,2014J,262,5.0,110.0,56.0,98.0,77.56,924.0
BBB,2014J,2357372,0,180,Withdrawn,F,East Midlands Region,Lower Than A Level,20-30%,0-35,N,2014J,262,,,,,,
BBB,2014J,2363168,0,60,Pass,F,East Anglian Region,A Level or Equivalent,50-60%,35-55,N,2014J,262,5.0,106.0,80.0,105.0,108.88,2751.0
BBB,2014J,2375759,1,60,Distinction,F,North Western Region,Lower Than A Level,,0-35,N,2014J,262,5.0,113.2,84.8,132.0,129.25,3089.0
BBB,2014J,2385665,0,60,Pass,F,East Anglian Region,Lower Than A Level,20-30%,35-55,N,2014J,262,5.0,107.4,80.2,89.0,102.07,1019.0
BBB,2014J,2386867,1,60,Withdrawn,F,Ireland,Lower Than A Level,40-50%,35-55,N,2014J,262,2.0,33.0,90.0,29.0,32.03,147.0
BBB,2014J,2394741,1,60,Fail,F,East Anglian Region,Lower Than A Level,40-50%,35-55,N,2014J,262,2.0,34.5,25.5,45.0,34.87,312.0
BBB,2014J,2399380,0,180,Withdrawn,F,South West Region,Lower Than A Level,20-30%,35-55,Y,2014J,262,1.0,19.0,100.0,13.0,-0.32,38.0
BBB,2014J,2401304,1,60,Pass,F,South West Region,Lower Than A Level,60-70%,0-35,N,2014J,262,5.0,107.2,73.6,99.0,115.11,1555.0
BBB,2014J,2407594,0,120,Pass,F,London Region,A Level or Equivalent,50-60%,35-55,N,2014J,262,5.0,102.4,71.8,87.0,97.03,1751.0
BBB,2014J,2410544,0,60,Pass,M,Wales,HE Qualification,50-60%,35-55,N,2014J,262,5.0,109.0,65.0,74.0,104.79,716.0
BBB,2014J,2414945,0,60,Fail,M,Scotland,A Level or Equivalent,40-50%,0-35,Y,2014J,262,3.0,63.0,78.33,51.0,34.91,421.0
BBB,2014J,2423078,2,60,Fail,M,London Region,A Level or Equivalent,0-10%,35-55,N,2014J,262,2.0,33.5,70.0,7.0,18.7,17.0
BBB,2014J,2426442,0,60,Withdrawn,F,North Region,A Level or Equivalent,10-20,35-55,N,2014J,262,2.0,33.5,35.5,36.0,19.7,211.0
BBB,2014J,2426864,0,60,Pass,F,East Midlands Region,A Level or Equivalent,0-10%,35-55,N,2014J,262,5.0,111.6,46.6,54.0,72.88,372.0
BBB,2014J,2428341,0,60,Pass,F,South East Region,A Level or Equivalent,40-50%,35-55,N,2014J,262,5.0,107.2,67.0,37.0,87.41,321.0
BBB,2014J,2432551,0,60,Fail,M,Scotland,A Level or Equivalent,0-10%,35-55,N,2014J,262,4.0,77.75,79.5,47.0,55.24,531.0
BBB,2014J,2436711,0,60,Pass,F,East Midlands Region,A Level or Equivalent,60-70%,35-55,N,2014J,262,5.0,105.0,65.2,107.0,117.75,2585.0
BBB,2014J,2444705,3,60,Pass,F,North Western Region,Lower Than A Level,0-10%,35-55,N,2014J,262,5.0,106.2,47.6,92.0,99.44,1573.0
BBB,2014J,2446694,0,60,Fail,M,Scotland,Lower Than A Level,0-10%,35-55,N,2014J,262,2.0,41.0,75.0,59.0,58.46,821.0
BBB,2014J,2448699,0,120,Fail,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,N,2014J,262,2.0,33.0,77.0,33.0,22.0,176.0
BBB,2014J,2449399,0,60,Pass,F,East Midlands Region,HE Qualification,50-60%,35-55,N,2014J,262,5.0,108.2,62.2,74.0,126.7,1027.0
BBB,2014J,2454351,0,90,Withdrawn,F,East Anglian Region,Lower Than A Level,40-50%,35-55,N,2014J,262,,,,8.0,-0.22,58.0
BBB,2014J,2459279,0,120,Fail,F,South East Region,A Level or Equivalent,60-70%,35-55,N,2014J,262,,,,9.0,8.38,52.0
BBB,2014J,2462576,1,60,Pass,F,Scotland,HE Qualification,60-70%,0-35,N,2014J,262,5.0,112.0,80.8,49.0,85.58,241.0
BBB,2014J,2464901,0,120,Withdrawn,F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,Y,2014J,262,1.0,-2.0,1.0,7.0,-2.0,19.0
BBB,2014J,2475591,0,120,Pass,F,Yorkshire Region,HE Qualification,30-40%,35-55,N,2014J,262,5.0,105.8,72.6,119.0,128.83,1969.0
BBB,2014J,2482994,1,60,Fail,F,South Region,Lower Than A Level,90-100%,0-35,N,2014J,262,12.0,109.92,71.5,38.0,102.21,306.0
BBB,2014J,2486159,1,60,Pass,F,Wales,A Level or Equivalent,20-30%,35-55,N,2014J,262,5.0,103.0,75.0,59.0,106.56,573.0
BBB,2014J,2487430,0,60,Pass,F,Wales,A Level or Equivalent,10-20,0-35,N,2014J,262,5.0,103.0,54.4,45.0,59.73,440.0
BBB,2014J,2487573,0,150,Pass,F,South East Region,Lower Than A Level,90-100%,35-55,N,2014J,262,5.0,96.4,50.8,116.0,114.79,1857.0
BBB,2014J,2494258,1,60,Pass,F,East Anglian Region,A Level or Equivalent,10-20,0-35,N,2014J,262,5.0,104.8,51.8,47.0,116.7,340.0
BBB,2014J,2497189,1,120,Withdrawn,F,Scotland,A Level or Equivalent,30-40%,0-35,Y,2014J,262,1.0,24.0,100.0,7.0,19.0,23.0
BBB,2014J,2497624,0,120,Pass,F,Scotland,Lower Than A Level,60-70%,35-55,Y,2014J,262,5.0,103.6,75.6,88.0,85.71,1766.0
BBB,2014J,2511519,0,60,Distinction,F,Ireland,A Level or Equivalent,30-40%,35-55,N,2014J,262,5.0,105.0,85.0,72.0,93.38,1156.0
BBB,2014J,2520290,0,60,Pass,F,Scotland,A Level or Equivalent,30-40%,35-55,N,2014J,262,5.0,106.8,51.2,113.0,122.98,4020.0
BBB,2014J,2520649,0,60,Pass,F,Ireland,Lower Than A Level,80-90%,35-55,N,2014J,262,5.0,108.8,65.0,60.0,107.56,544.0
BBB,2014J,2537934,0,120,Fail,M,East Anglian Region,HE Qualification,90-100%,55+,N,2014J,262,3.0,59.67,46.33,38.0,53.06,156.0
BBB,2014J,2542310,2,60,Fail,F,London Region,Lower Than A Level,40-50%,0-35,N,2014J,262,1.0,19.0,100.0,20.0,11.17,127.0
BBB,2014J,2545047,0,120,Pass,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,2014J,262,5.0,104.0,75.0,87.0,104.32,1675.0
BBB,2014J,2552708,1,60,Pass,M,South East Region,Lower Than A Level,40-50%,35-55,N,2014J,262,5.0,104.4,81.4,68.0,114.92,837.0
BBB,2014J,2559992,1,120,Fail,F,Scotland,Lower Than A Level,80-90%,0-35,N,2014J,262,3.0,70.33,92.33,34.0,57.54,168.0
BBB,2014J,2567715,0,120,Fail,M,West Midlands Region,A Level or Equivalent,10-20,35-55,N,2014J,262,5.0,104.8,53.4,92.0,75.5,961.0
BBB,2014J,2570396,1,60,Pass,F,South Region,A Level or Equivalent,70-80%,35-55,N,2014J,262,5.0,101.8,58.8,84.0,100.05,1207.0
BBB,2014J,2576637,0,120,Distinction,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,N,2014J,262,5.0,102.0,79.2,99.0,129.62,1875.0
BBB,2014J,2578532,0,120,Pass,F,South Region,Lower Than A Level,10-20,0-35,N,2014J,262,5.0,104.8,82.2,80.0,68.82,954.0
BBB,2014J,2580626,1,60,Distinction,F,South East Region,HE Qualification,80-90%,35-55,N,2014J,262,5.0,101.4,68.2,96.0,109.33,3067.0
BBB,2014J,2594368,0,60,Pass,F,Ireland,A Level or Equivalent,0-10%,0-35,Y,2014J,262,5.0,108.2,64.4,68.0,87.42,388.0
BBB,2014J,2599784,0,60,Pass,F,South West Region,HE Qualification,30-40%,0-35,N,2014J,262,5.0,104.4,54.6,76.0,130.57,941.0
BBB,2014J,2603061,0,120,Withdrawn,F,East Midlands Region,Lower Than A Level,60-70%,35-55,N,2014J,262,,,,,,
BBB,2014J,2603534,0,60,Withdrawn,F,South East Region,A Level or Equivalent,10-20,35-55,Y,2014J,262,,,,,,
